Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Europe & Central Asia	ECS	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															23.93818232					19.61854193					18.15646056					16.72736595					18.2322245	17.96639646	17.57545106	18.22880642	18.80113783	19.05786044	19.10909393	
Ecuador	ECU	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															17.48882935					17.90936007					17.95586219					19.4372738					14.25791705	16.50988467	15.89743296	15.98247769	13.81624759	13.14030724	13.1676851	
"Egypt, Arab Rep."	EGY	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															75.79211354					72.35770416					73.46044719					79.47696481					90.39277858	89.03487372	88.48692422	95.0964039	99.342872	124.8751272	126.0282315	
Euro area	EMU	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															16.32038645					14.5963628					13.57071993					12.9230605					13.05393014	12.95210472	12.82665522	13.40102647	13.76948577	13.0744044	13.03669632	
Eritrea	ERI	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															44.49359069					44.03549181					43.27105311					38.45636271					42.1165912	43.42152387	45.50252366	43.89339022	43.84186008	50.17587135	50.51448122	
Spain	ESP	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															10.37607497					10.16657996					10.07227221					9.939772633					9.687449661	9.738397468	9.768897562	9.748359793	9.745861148	9.956494034	9.960824015	
Estonia	EST	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															11.70100334					9.001119285					8.057205179					8.01575887					8.207549989	7.888997497	7.131966468	8.187581003	8.722447982	6.044276118	5.928305245	
Ethiopia	ETH	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															36.01804875					35.92437476					35.45756102					31.15968667					34.07070547	36.18446732	37.4672798	36.60847156	36.30068316	48.87739462	49.73530571	
European Union	EUU	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															20.57773257					17.15625781					15.32613099					14.29252986					14.68981435	14.53643027	14.17855609	14.6347551	14.96883373	14.44027723	14.40412358	
Fragile and conflict affected situations	FCS	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															43.67384879					43.50279299					44.17214263					41.46328202					43.96922035	44.96202631	45.62901622	44.2130835	42.80135227	54.59742381	55.46796226	
Finland	FIN	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															7.837320293					7.31590418					7.095158683					6.907426427					7.053497676	6.847406326	6.581156469	6.903110324	7.121725297	6.277478339	6.234267477	
Fiji	FJI	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															8.636341397					8.744470931					8.705525699					9.352825569					6.894881454	6.645543004	6.929211802	7.558222379	7.21266699	7.463997201	7.658563742	
France	FRA	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															14.16153898					13.2958188					12.60696745					12.26144966					12.24452775	12.21226676	12.26243778	12.29292695	12.33371972	11.89114342	11.8693378	
Faroe Islands	FRO	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																																																										
"Micronesia, Fed. Sts."	FSM	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															9.366829378					9.436386506					9.334330495					9.668693802					7.194825282	6.861860026	7.052250773	7.42155694	7.276691448	8.50110507	8.667210756	
